source	hidden_k	surface_k	comparison	hidden_rule	surface_family	hidden_test_auroc	surface_test_auroc	delta_auroc_hidden_minus_surface	delta_auroc_ci_low	delta_auroc_ci_high	delta_auroc_p_two_sided_zero	delta_auroc_holm_p	hidden_pair_rank_accuracy	surface_pair_rank_accuracy	delta_pair_rank_accuracy_hidden_minus_surface	delta_pair_rank_accuracy_ci_low	delta_pair_rank_accuracy_ci_high	delta_pair_rank_accuracy_p_two_sided_zero	delta_pair_rank_accuracy_holm_p	n_pairs	n_rows	n_rank_pairs	pool_ks	pool_positions	layer	left_dropped	left_dropped_initial	pairs_dropped_pair_complete	pairs_dropped_pair_complete_initial	right_dropped	right_dropped_initial
strongreject_full	32	4	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.7267200145968278	0.657678322407434	0.06904169218939382	0.028402559658017176	0.10833811205671913	0.0		0.7310469314079422	0.6498194945848376	0.08122743682310463	0.044695767195767185	0.12285440110232604	0.004		277	554	277	4,8,16,32	cot_4,cot_8,cot_16,cot_32	28	0	0	0	0	0	0
reasoningshield	32	4	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.6928803742481622	0.6747828024058811	0.018097571842281113	-0.0235531298730229	0.057995878814880816	0.32		0.6880597014925374	0.6791044776119403	0.008955223880597107	-0.03302739024987208	0.04763146556611252	0.708		335	670	335	4,8,16,32	cot_4,cot_8,cot_16,cot_32	28	0	0	0	0	0	0
pooled	32	4	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.7070063864325686	0.6645374108248964	0.042468975607672266	0.015191673074458598	0.07240390982100896	0.004		0.7075163398692811	0.6658496732026143	0.04166666666666674	0.015091770666519419	0.0673478018673192	0.008		612	1224	612	4,8,16,32	cot_4,cot_8,cot_16,cot_32	28	0		0		0	
strongreject_full	32	8	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.7267200145968278	0.7177208096026274	0.008999204994200372	-0.022271891983474307	0.0498566382984269	0.64		0.7310469314079422	0.6895306859205776	0.041516245487364545	-0.0043821839080460095	0.08430366415205248	0.108		277	554	277	4,8,16,32	cot_4,cot_8,cot_16,cot_32	28	0	0	0	0	0	0
reasoningshield	32	8	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.6928803742481622	0.7034617955001113	-0.010581421251949163	-0.04563989752728896	0.02370628202272218	0.572		0.6880597014925374	0.6895522388059702	-0.0014925373134327957	-0.044578859294380095	0.04028436018957349	0.98		335	670	335	4,8,16,32	cot_4,cot_8,cot_16,cot_32	28	0	0	0	0	0	0
pooled	32	8	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.7070063864325686	0.7068862403349139	0.00012014609765476081	-0.024761076135247098	0.022048878102439162	0.992		0.7075163398692811	0.6895424836601307	0.017973856209150374	-0.013107041266438607	0.0515710969299053	0.3		612	1224	612	4,8,16,32	cot_4,cot_8,cot_16,cot_32	28	0		0		0	
strongreject_full	32	16	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.7267200145968278	0.7436757940283335	-0.016955779431505724	-0.05555445138083386	0.0158750276948741	0.352		0.7310469314079422	0.7021660649819494	0.028880866425992746	-0.020201478896643414	0.07661342894393738	0.256		277	554	277	4,8,16,32	cot_4,cot_8,cot_16,cot_32	28	0	0	0	0	0	0
reasoningshield	32	16	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.6928803742481622	0.740815326353308	-0.04793495210514587	-0.08179416351080418	-0.012276564936511566	0.004		0.6880597014925374	0.7104477611940299	-0.02238805970149249	-0.06338028169014082	0.018609380408445866	0.312		335	670	335	4,8,16,32	cot_4,cot_8,cot_16,cot_32	28	0	0	0	0	0	0
pooled	32	16	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.7070063864325686	0.7366490986372762	-0.0296427122047076	-0.052238455294972015	-0.007332482965953266	0.012		0.7075163398692811	0.7066993464052288	0.0008169934640522847	-0.02883549078616484	0.03176827023675749	0.996		612	1224	612	4,8,16,32	cot_4,cot_8,cot_16,cot_32	28	0		0		0	
strongreject_full	32	32	feature_pooled_hidden_minus_surface	feature_cumulative_mean_layer28	char_tfidf	0.7267200145968278	0.7531572156550979	-0.026437201058270077	-0.05855168840985807	0.006827763948441851	0.112		0.7310469314079422	0.7148014440433214	0.016245487364620836	-0.030110799001248474	0.06304385359116015	0.564		277	554	277	4,8,16,32	cot_4,cot_8,cot_16,cot_32	28	0	0	0	0	0	0
